ID do ticket,Atribuir a um grupo,Data de criação,snapshot_date
,,,2025-10-08
100-99524,APOIO-COP-SEDE,30/09/2025,2025-10-08
100-99529,APOIO-COP-SD,30/09/2025,2025-10-08
,,,2025-10-08
300-131345,COP-SAP MOBILE,30/09/2025,2025-10-08
300-131370,COP-SUPORTE-XML-TI,01/10/2025,2025-10-08
300-131374,COP-SAP LES,01/10/2025,2025-10-08
300-131406,PROD-COP-NOC,01/10/2025,2025-10-08
300-131454,COP-SAP MM,01/10/2025,2025-10-08
,,,2025-10-08
300-131460,COP-SAP MM,01/10/2025,2025-10-08
300-131487,COP-SAP LES,02/10/2025,2025-10-08
,,,2025-10-08
300-131519,COP-SAP FI,02/10/2025,2025-10-08
300-131538,COP-SAP MOBILE,02/10/2025,2025-10-08
100-99818,COP-SAP SD,02/10/2025,2025-10-08
300-131561,APOIO-COP-SEDE,02/10/2025,2025-10-08
100-99850,COP-ORIENTAÇÃO-GRC,02/10/2025,2025-10-08
300-131613,COP-SAP LES,03/10/2025,2025-10-08
100-99888,APOIO-COP-SEDE,03/10/2025,2025-10-08
300-131634,COP-SAP MOBILE,03/10/2025,2025-10-08
100-99945,COP-IMPRESSORA,03/10/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
300-131638,COP-SAP MOBILE,03/10/2025,2025-10-08
300-131640,COP-SAP MM,03/10/2025,2025-10-08
300-131670,COP-SAP MOBILE,04/10/2025,2025-10-08
100-99977,COP-IMPRESSORA,06/10/2025,2025-10-08
300-126711,COP-SAP MOBILE-3N,26/07/2025,2025-10-08
300-126940,COP-SAP LES-3N,30/07/2025,2025-10-08
300-127044,COP-SAP LES-3N,31/07/2025,2025-10-08
300-127634,COP-SAP LES-3N,08/08/2025,2025-10-08
300-127695,COP-SAP MM-3N,11/08/2025,2025-10-08
100-95799,COP-SAP LES-3N,20/08/2025,2025-10-08
300-129208,COP-RECONCILIAÇÃO,01/09/2025,2025-10-08
300-129305,COP-SAP LES-3N,02/09/2025,2025-10-08
100-97023,COP-SAP LES-3N,03/09/2025,2025-10-08
300-129577,COP-TELECOM,04/09/2025,2025-10-08
100-97193,COP-SAP CO-3N,04/09/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
300-130047,COP-SAP SD-3N,11/09/2025,2025-10-08
300-130552,COP-SAP SD-3N,18/09/2025,2025-10-08
300-130635,COP-AUT-SAP-SUP-VENDAS-ADM,19/09/2025,2025-10-08
,,,2025-10-08
100-98808,COP-SAP SD-3N,22/09/2025,2025-10-08
300-130800,COP-SAP LES-3N,23/09/2025,2025-10-08
100-98979,COP-SAP SD-3N,23/09/2025,2025-10-08
100-98994,COP-SAP SD-3N,23/09/2025,2025-10-08
300-130843,COP-AUT-SAP-LOGÍSTICA-SD,23/09/2025,2025-10-08
,,,2025-10-08
300-130929,COP-SAP SD-3N,24/09/2025,2025-10-08
100-99132,COP-SAP MOBILE-3N,24/09/2025,2025-10-08
300-130939,COP-AUT-SAP-TRIBUTÁRIO-LES/MM/SD,24/09/2025,2025-10-08
300-130949,COP-TELECOM,25/09/2025,2025-10-08
300-130993,COP-AUT-SAP-TRIBUTÁRIO-LES/MM/SD,25/09/2025,2025-10-08
300-131087,COP-SAP SD-3N,26/09/2025,2025-10-08
300-131095,COP-SAP BASIS,26/09/2025,2025-10-08
300-131175,COP-SAP SD-3N,29/09/2025,2025-10-08
300-131220,COP-AUT-SAP-LOGÍSTICA-SD/CPR/ZRF,29/09/2025,2025-10-08
300-131255,COP-SAP FI-3N,30/09/2025,2025-10-08
300-131290,COP-TELECOM,30/09/2025,2025-10-08
100-99553,COP-SAP LES-3N,30/09/2025,2025-10-08
300-131363,COP-SAP MOBILE-3N,01/10/2025,2025-10-08
300-131368,COP-SAP LES-3N,01/10/2025,2025-10-08
300-131373,COP-SAP SD-3N,01/10/2025,2025-10-08
,,,2025-10-08
300-131401,COP-SAP LES-3N,01/10/2025,2025-10-08
100-99656,COP-AUT-SAP-LOGÍSTICA-SD/CPR/ZRF,01/10/2025,2025-10-08
300-131402,COP-RECONCILIAÇÃO,01/10/2025,2025-10-08
,,,2025-10-08
300-131453,COP-SAP LES-3N,01/10/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
300-131549,COP-SAP SD-3N,02/10/2025,2025-10-08
,,,2025-10-08
300-131599,COP-SAP LES-3N,03/10/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
300-131619,COP-TELECOM,03/10/2025,2025-10-08
300-131632,COP-SAP FI-3N,03/10/2025,2025-10-08
,,,2025-10-08
100-99959,COP-SAP BASIS,03/10/2025,2025-10-08
300-131674,COP-TELECOM,05/10/2025,2025-10-08
300-131681,COP-TELECOM,05/10/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
